                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.68318,                0.53565,                 1.0563,                0.65635,                0.00563,                 0.1024,                0.09214,                    nan,                    nan,                    nan,               0.006865,               0.006865,               0.006865
                     97,                0.69796,                0.53944,                 1.0675,                0.48621,                0.00563,                0.08118,                0.07162,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     98,                0.69551,                0.53488,                 1.0599,                0.64784,                0.00563,                0.05488,                0.04973,                    nan,                    nan,                    nan,               0.006799,               0.006799,               0.006799
                     99,                0.68306,                0.52422,                 1.0565,                0.49123,                0.00563,                0.07791,                0.07353,                    nan,                    nan,                    nan,               0.006766,               0.006766,               0.006766
                    100,                0.68511,                0.52937,                 1.0594,                0.57448,                0.00563,                0.07942,                0.07174,                    nan,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                    101,                0.69019,                0.53681,                 1.0679,                0.55151,                0.00563,                0.05967,                0.05578,                    nan,                    nan,                    nan,                 0.0067,                 0.0067,                 0.0067
                    102,                0.68109,                0.52636,                 1.0609,                0.45592,                0.00563,                0.04916,                 0.0438,                    nan,                    nan,                    nan,               0.006667,               0.006667,               0.006667
                    103,                0.67961,                0.52706,                 1.0605,                0.48491,                0.00563,                0.08311,                0.07941,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                    104,                0.68831,                0.52964,                 1.0629,                0.74641,                0.00563,                0.10763,                0.09907,                    nan,                    nan,                    nan,               0.006601,               0.006601,               0.006601
                    105,                0.67911,                 0.5239,                 1.0601,                0.74625,                0.00563,                0.10217,                0.09829,                    nan,                    nan,                    nan,               0.006568,               0.006568,               0.006568
                    106,                0.67718,                0.52635,                 1.0588,                0.65809,                0.00563,                0.08641,                0.08235,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                    107,                0.68654,                0.52184,                 1.0633,                0.49221,                0.00563,                0.07697,                0.06966,                    nan,                    nan,                    nan,               0.006502,               0.006502,               0.006502
                    108,                0.67657,                0.51278,                 1.0496,                0.57676,                0.00563,                0.11472,                 0.1071,                    nan,                    nan,                    nan,               0.006469,               0.006469,               0.006469
                    109,                0.67522,                0.52578,                 1.0542,                0.82865,                0.00563,                0.11149,                0.10216,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                    110,                0.67145,                0.51002,                 1.0534,                0.49532,                0.00563,                0.10566,                0.09929,                    nan,                    nan,                    nan,               0.006403,               0.006403,               0.006403
                    111,                0.66565,                0.50347,                 1.0541,                0.57901,                0.00563,                0.10618,                 0.0972,                    nan,                    nan,                    nan,                0.00637,                0.00637,                0.00637
                    112,                0.67617,                0.51624,                 1.0537,                0.32352,                0.00563,                0.07773,                0.07156,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                    113,                0.66001,                 0.5018,                 1.0438,                0.32804,                0.00563,                0.07552,                0.07356,                    nan,                    nan,                    nan,               0.006304,               0.006304,               0.006304
                    114,                 0.6578,                0.49939,                 1.0496,                0.41142,                0.00563,                0.07923,                0.07597,                    nan,                    nan,                    nan,               0.006271,               0.006271,               0.006271
                    115,                0.67445,                 0.5072,                 1.0521,                0.49385,                0.00563,                0.07747,                0.07441,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                    116,                0.66833,                0.50706,                 1.0543,                0.41019,                0.00563,                0.08506,                0.08135,                    nan,                    nan,                    nan,               0.006205,               0.006205,               0.006205
